pos	HaplotypeScore
3463856	1.448
3464299	3.904
3464300	4.387
3464301	2.953
3464302	4.08
3464303	2.736
3464304	3.287
3464305	3.219
3464306	3.904
3464307	3.967
3464308	3.996
3464309	2.793
3464310	3.117
3464311	3.344
3464312	3.197
3464313	3.094
3464314	3.041
3464317	2.441
3464319	2.582
3464320	2.494
3464324	2.512
3464325	2.496
3464326	2.559
3464329	2.648
3464333	2.23
3464343	2.783
3464347	3.107
3464348	3.152
3464349	3.396
3464352	4.73
3464353	4.816
3464354	4.81
3464357	5.027
3464359	4.66
3464360	4.824
3464363	5.105
3464365	4.31
3464369	14.58
3464370	20.36
3464371	19.52
3464372	15.12
3464374	16.02
3464379	20.02
3464380	23.2
3464382	23.47
3464384	26.06
3464386	26.64
3464387	20.77
3464388	19.28
3464392	10.49
3464393	10.45
3464397	8.85
3464399	7.62
3464400	6.52
3464404	6.156
3464407	6.426
3464409	6.68
3464411	6.14
3464412	6.016
3464414	5.76
3464417	5.297
3464419	5.6
3464421	5.156
3464425	4.984
3464426	4.473
3464428	5.45
3464430	6.05
3464431	6.445
3464432	6.44
3464435	6.637
3464439	5.93
3464440	4.797
3464442	5.008
3464444	9.59
3464447	11.945
3464448	12.44
3464449	12.19
3464452	14.22
3464454	23.11
3464455	17.73
3464456	23.3
3464457	23.31
3464458	23.33
3464460	20.7
3464461	20.39
3464462	20.25
3464463	11.55
3464464	11.73
3464465	11.39
3464467	14.69
3464472	9.125
3464487	10.836
3464488	25.45
3464489	10.695
3464490	14.91
3464492	6.95
3464493	14.59
3464742	1.656
3464747	1.603
3464750	2.791
3464752	5.254
3464757	9.85
3464758	7.06
3464759	12.914
3464760	12.98
3464761	8.99
3464762	12.336
3464763	12.19
3464765	13.11
3464766	9.98
3464768	10.48
3464770	14.94
3464771	14.44
3464772	14.42
3464774	11.85
3464776	6.445
3464778	9.36
3464779	5.625
3464782	2.412
3464785	6.99
3464787	7.613
3464789	8.62
3464794	13.16
3464816	19.7
3464817	18.16
3464818	16.22
3464819	22.98
3464820	22.81
3464821	15.11
3464822	13.19
3464823	11.26
3464828	13.3
3464832	14.14
3464833	11.164
3464834	13.2
3465640	2.86
3465641	2.916
3465642	2.895
3465643	2.25
3465645	2.227
3465648	1.1455
3465651	2.049
3465654	1.021
3465655	1.01
3465656	1.029
3465657	1.049
3465660	0.941
3465663	0.933
3465666	1.128
3465667	1.187
3465671	1.944
3465672	1.968
3465673	2.822
3465674	3.664
3465678	3.203
3465679	5.027
3465680	4.23
3465681	4.316
3465683	7.613
3465684	6.117
3465686	4.02
3465688	10.41
3465689	10.93
3465690	9.91
3465691	6.46
3465693	10.02
3465733	1.06
3465734	0.973
3465735	1.035
3465736	0.936
3465739	1.094
3465740	1.082
3465745	2.092
3465747	2.426
3465749	3.15
3465751	3.082
3465753	3.139
3465754	3.135
3465757	3.045
3465758	2.693
3465759	2.982
3465760	2.947
3465768	1.967
3465771	1.41
3465772	1.413
3465774	1.071
3465775	1.42
3465777	1.215
3465780	1.553
3465782	1.502
3465785	1.331
3465786	1.554
3465787	1.556
3465788	1.367
3465789	1.563
3465855	18.1
3465857	18.14
3465858	18.4
3465859	18.9
3465944	1.205
3465947	1.353
3465948	1.342
3465950	1.36
3465952	1.403
3465953	1.411
3465954	1.42
3465957	1.501
3465961	1.67
3465963	1.781
3465970	1.843
3465975	2.234
3465981	2.55
3465982	2.676
3465985	2.29
3466114	13.45
3466116	13.49
3466117	12.27
3466118	10.64
3466120	7.914
3466121	6.605
3466122	5.22
3466123	3.945
3466124	2.463
3466126	2.201
3466127	2.188
3466129	2.303
3466130	2.115
3466131	2.148
3466132	2.092
3466133	1.948
3466134	1.875
3466135	2.076
3466136	2.158
3466137	2.117
3466139	2.395
3466142	2.303
3466144	2.37
3466145	2.367
3466148	2.414
3466153	2.398
3466154	2.248
3466158	6.598
3466161	15.12
3466162	22.08
3466166	51.16
3466180	48.38
3466181	39.22
3466182	38.56
3466221	1.433
3466222	1.45
3466227	1.308
3466228	1.423
3466229	1.243
3466230	1.309
3466231	1.327
3466240	1.73
3466453	1.755
3466454	2.254
3466455	1.865
3466456	2.908
3466458	2.39
3466459	2.387
3466468	2.139
3466469	1.631
3466470	2.26
3466476	1.483
3466477	1.458
3466478	1.245
3466479	1.333
3466480	1.504
3466484	1.825
3466489	2.03
3466490	2.148
3466491	1.823
3466493	1.901
3466497	1.453
3466498	1.907
3466499	1.895
3466500	1.88
3466502	1.46
3466503	1.341
3466505	1.519
3466512	24.14
3466513	24.33
3466514	27.95
3466515	31.4
3466520	39.38
3466521	39.25
3466522	39.22
3466523	39.03
3466528	34.78
3466529	36.25
3466530	33.25
3466531	33.28
3466532	28.3
3466533	29.58
3466534	23.3
3466536	13.56
3466539	14.75
3466540	3.871
3466543	13.72
3466553	0.862
3466560	0.949
3466565	2.21
3466566	2.227
3466570	2.463
3466571	1.486
3466572	2.396
3466573	1.5
3466574	2.396
3466575	2.361
3466576	2.281
3466577	2.275
3466578	1.372
3466579	2.213
3466583	2.162
3466587	1.301
3466593	0.9863
3466595	1.085
3466596	1.995
3466597	2.03
3466599	2.09
3466600	2.08
3466604	7.684
3466605	7.79
3466606	7.816
3466608	7.13
3466609	1.33
3466610	7.64
3466613	7.766
3466647	21.98
3466648	11.29
3466651	11.77
3466653	3.59
3466655	2.19
3466656	1.893
3466657	2.852
3466658	2.053
3466660	3.797
3466661	3.79
3466664	4.184
3466669	2.305
3466670	2.986
3466672	1.669
3466673	0.8687
3466675	1.363
3466676	1.404
3466681	1.563
3466685	1.196
3466686	1.211
3466687	1.192
3466797	4.64
3466798	11.46
3466799	4.25
3466800	4.203
3466801	2.822
3466802	10.16
3466803	13.836
3466804	13.89
3466805	6.05
3466806	6.51
3466808	14.164
3466809	4.26
3466811	8.37
3466813	2.701
3466815	2.318
3466816	2.053
3466818	2.611
3466821	2.432
3466823	2.543
3466824	1.917
3466825	1.908
3466826	1.949
3466832	1.171
3466835	1.318
3466836	1.253
3466841	0.984
3466846	1.118
3466849	1.04
3466851	2.086
3466853	22.53
3466854	42.25
3466855	46.47
3466858	46.2
3466859	48.47
3466860	46.25
3466861	46.34
3466866	48.88
3466936	20.05
3466939	14.336
3466941	6.777
3466942	2.338
3466943	2.37
3466944	2.248
3466945	2.09
3466946	2.184
3466951	2.06
3466952	2.062
3466957	1.649
3467142	42.53
3467144	43.25
3467145	43.28
3467151	44.4
3467156	43.4
3467161	2.307
3467162	2.129
3467163	1.368
3467170	1.947
3467171	1.982
3467172	1.277
3467173	1.573
3467174	1.245
3467175	1.027
3467180	1.046
3467182	1.022
3467183	1.014
3467186	1.08
3467189	1.636
3467196	1.707
3467197	1.657
3467198	1.788
3467199	18.33
3467200	20.1
3467201	19.64
3467206	22.92
3467207	21.83
3467209	23.98
3467210	22.36
3467214	25.53
3467217	24.73
3467218	24.48
3467221	3.727
3467222	3.664
3467224	2.941
3467227	3.729
3467230	2.281
3467231	2.254
3467233	2.062
3467237	1.192
3467239	2.488
3467242	2.732
3467243	9.84
3467244	9.836
3467245	10.01
3467246	12.57
3467248	15.97
3467249	17.44
3467250	17.58
3467305	15.42
3467306	15.445
3467309	5.87
3467311	1.121
3467312	1.021
3467316	0.55
3467325	1.18
3467327	1.223
3467329	1.3125
3467330	1.337
3467333	1.402
3467334	1.4375
3467336	2.938
3467345	11.805
3467346	12.36
3467403	0.8345
3467405	0.949
3467406	0.9443
3467407	0.977
3467408	0.8496
3467409	0.911
3467411	0.9424
3467414	1.317
3467415	1.32
3467417	1.234
3467420	1.158
3467498	29.69
3467499	28.34
3467501	27.31
3467502	27.25
3467504	10.3
3467505	1.695
3467508	1.613
3467510	1.124
3467511	1.125
3467512	0.903
3467513	1.044
3467518	1.722
3467520	1.85
3467521	3.584
3467522	1.938
3467524	2.1
3467525	3.771
3467526	2.13
3467527	2.162
3467529	2.174
3467530	2.94
3467531	2.705
3467532	1.58
3467534	1.941
3467535	1.689
3467536	1.632
3467537	1.457
3467539	1.825
3467542	1.107
3467543	1.229
3467545	1.026
3467546	1.005
3467548	0.8135
3467549	0.8438
3467553	0.9316
3467559	0.852
3467560	0.78
3467568	1.298
3467569	1.4795
3467572	1.706
3467574	5.88
3467575	8.8
3467576	11.22
3467604	65.6
3467608	62.8
3467610	44.84
3467733	2.562
3467734	6.613
3467736	4.25
3467740	6.29
3467742	18.95
3467743	19.12
3467744	16.6
3467745	17.22
3467747	17.56
3467748	14.55
3467749	18.44
3467753	17.86
3467754	14.5
3467755	14.19
3467758	12.68
3467759	12.12
3467762	12.43
3467764	2.746
3467765	2.94
3467766	2.354
3467767	2.348
3467768	5.395
3467770	2.24
3467863	14.664
3467867	13.63
3467868	12.695
3467870	13.984
3467873	13.9
3467875	16.95
3467878	17.28
3467879	21.0
3467881	14.13
3467882	13.36
3467883	15.29
3467884	14.7
3467885	16.94
3467886	18.39
3467887	20.45
3467889	18.4
3467897	17.39
3467898	17.33
3467900	14.46
3467902	10.09
3467903	4.9
3467906	4.14
3467907	1.566
3468420	4.742
3468425	6.145
3468426	5.266
3468427	10.67
3468428	10.58
3468430	6.258
3468431	9.36
3468432	13.78
3468433	13.66
3468436	8.36
3468438	7.117
3468439	10.33
3468440	6.547
3468441	2.926
3468505	72.7
3468507	72.94
3468513	56.62
3468516	50.75
3468517	50.25
3468519	39.2
3468520	28.45
3468521	14.52
3468525	1.114
3468526	0.8926
3468527	0.916
3468534	0.8384
3468537	0.9956
3468539	1.151
3468541	1.161
3468542	1.124
3468544	1.007
3468545	1.013
3468546	1.134
3468547	1.169
3468554	1.417
3468557	1.226
3468559	1.136
3468570	1.315
3468577	1.3
3468578	1.33
3468582	1.254
3468583	1.047
3468588	1.476
3468589	1.493
3468597	1.165
3468598	1.169
3468601	1.31
3468610	1.179
3468618	1.673
3468619	1.708
3468622	1.838
3468623	1.888
3468624	1.886
3468626	16.38
3468627	24.75
3468632	36.12
3468657	2.398
3468659	2.217
3468660	1.907
3468661	2.045
3468662	2.252
3468663	2.19
3468665	1.607
3468666	1.794
3468668	1.435
3468670	1.53
3468671	1.411
3468672	1.467
3468674	1.417
3468675	1.531
3468678	1.587
3468679	1.543
3468680	1.447
3468682	1.2705
3468686	1.36
3468687	2.299
3468693	3.17
3468696	3.299
3468698	3.383
3468699	4.0
3468700	4.035
3468701	4.035
3468702	4.03
3468704	3.986
3468715	0.9
3468717	0.9683
3468718	1.125
3468723	1.362
3468725	1.428
3468726	1.385
3468727	0.985
3468728	0.959
3468729	3.45
3468730	1.648
3468733	2.07
3468734	2.115
3468738	4.305
3468739	4.15
3468740	2.38
3468741	2.375
3468742	2.371
3468744	2.021
3468748	1.625
3468750	1.935
3468754	1.426
3468756	1.825
3468757	2.443
3468758	2.047
3468759	2.469
3468762	2.494
3468764	2.285
3468766	2.273
3468767	2.436
3468768	2.41
3468769	1.797
3468771	1.7295
3468773	1.696
3468774	2.162
3468775	1.236
3468859	2.348
3468860	2.703
3468861	1.757
3468864	1.297
3468867	1.307
3468868	1.291
3468871	2.7
3468872	7.79
3468874	13.39
3468875	13.58
3468878	14.2
3468879	14.11
3468880	14.16
3468886	14.11
3468887	14.09
3468892	11.65
3468895	0.719
3468896	0.8154
3468901	1.08
3468905	1.134
3468908	1.123
3468909	1.311
3468910	1.332
3468911	1.374
3468912	1.274
3468913	1.296
3468915	1.278
3468917	1.291
3468921	1.8125
3468926	1.914
3468927	1.91
3468929	1.913
3468930	1.311
3468931	1.32
3468933	1.958
3468934	2.182
3468936	6.863
3468938	9.97
3468941	9.49
3468944	2.846
3468952	5.2
3468954	8.95
3468956	5.703
3468957	5.73
3468959	1.263
3468961	1.418
3468962	1.677
3469248	2.098
3469249	2.783
3469250	2.867
3469251	2.88
3469252	2.934
3469257	2.014
3469260	2.025
3469261	2.521
3469268	1.749
3469270	1.615
3469274	1.736
3469276	1.953
3469277	2.049
3469278	2.3
3469279	3.004
3469283	3.262
3469285	10.45
3469286	10.3
3469289	10.45
3469291	11.64
3469297	15.58
3469298	15.53
3469299	15.766
3469301	14.13
3469303	13.375
3469305	5.547
3469306	5.742
3469307	5.625
3469313	1.872
3469315	1.539
3469317	2.209
3469318	2.186
3469319	2.184
3469323	2.48
3469325	2.88
3469326	4.69
3469327	4.707
3469328	7.934
3469330	8.125
3469331	8.53
3469332	8.99
3469333	8.766
3469334	9.23
3469341	8.03
3469343	9.58
3469346	7.848
3469348	6.492
3469349	3.977
3469350	6.355
3469351	6.324
3469355	2.418
3469356	3.62
3469358	3.469
3469360	2.094
3469362	3.596
3469367	4.496
3469372	4.848
3469373	19.72
3469374	20.4
3469375	22.77
3469377	21.14
3469378	23.33
3469379	23.4
3469381	22.47
3469383	22.17
3469399	1.842
3469401	1.764
3469402	2.068
3469405	2.004
3469408	2.23
3469409	1.808
3469411	1.696
3469416	1.871
3469421	2.363
3469423	2.793
3469426	9.06
3469427	11.39
3469429	15.66
3469431	19.94
3469432	20.56
3469433	21.02
3469434	20.97
3469436	20.55
3469438	14.83
3469439	11.51
3469440	20.8
3469441	20.55
3469442	14.586
3469443	7.22
3469444	11.08
3469445	10.94
3469446	10.984
3469447	10.31
3469456	3.42
3469459	5.51
3469460	5.42
3469461	5.43
3469462	8.59
3469463	8.81
3469464	5.723
3469465	8.734
3469466	8.805
3469468	4.49
3469469	2.93
3469471	4.457
3469472	4.805
3469473	3.416
3469743	2.031
3469749	1.875
3469750	1.934
3469751	2.01
3469754	2.021
3469756	1.938
3469757	1.973
3470021	10.56
3470022	2.732
3470025	4.43
3470026	11.09
3470028	10.56
3470029	10.54
3470030	3.816
3470032	2.33
3470034	2.846
3470035	1.859
3470039	1.569
3470041	1.022
3470044	0.971
3470047	0.687
3470049	0.7817
3470052	0.8857
3470053	0.8184
3470055	0.9126
3470057	1.015
3470058	1.027
3470061	1.08
3470065	1.41
3470066	1.505
3470069	1.452
3470071	1.552
3470073	1.412
3470074	1.492
3470075	1.568
3470076	1.581
3470077	1.792
3470079	2.016
3470081	1.843
3470082	2.041
3470083	2.096
3470084	1.916
3470086	12.58
3470087	12.93
3470088	13.234
3470089	16.38
3470092	28.48
3470097	31.77
3470098	31.62
3470114	6.094
3470119	5.918
3470122	3.73
3470123	4.55
3470124	3.889
3470125	2.87
3470126	3.799
3470127	3.816
3470128	2.912
3470129	2.941
3470130	2.305
3470131	2.863
3470133	2.666
3470134	3.387
3470136	3.072
3470142	2.496
3470143	1.932
3470144	2.488
3470145	1.987
3470146	2.047
3470148	1.899
3470149	2.502
3470150	2.812
3470151	2.834
3470156	3.686
3470157	4.47
3470160	3.912
3470162	3.889
3470164	4.63
3470166	6.258
3470167	12.67
3470168	5.984
3470170	16.81
3470171	7.547
3470172	16.98
3470173	9.766
3470176	16.39
3470695	3.748
3470697	3.938
3470700	4.688
3470708	3.361
3470711	3.365
3470719	10.305
3470720	12.51
3470722	12.63
3470723	12.83
3470724	15.45
3470727	18.28
3470736	31.44
3470746	6.523
3470747	6.527
3470748	6.516
3470749	6.67
3470753	8.734
3470757	2.654
3470758	2.56
3470760	2.582
3470763	2.56
3470764	4.227
3470882	15.98
3470883	16.02
3470886	6.86
3470888	12.46
3470889	15.0
3470900	11.33
3470902	11.32
3471684	2.553
3471685	2.504
3471686	2.549
3471688	2.703
3471689	2.56
3471690	2.28
3471692	2.713
3471693	3.102
3471694	2.488
3471697	2.863
3471700	3.207
3471701	2.725
3471702	2.846
3471703	2.127
3471704	2.31
3471705	1.908
3471707	3.06
3471709	3.143
3471711	3.74
3471713	3.791
3471714	3.516
3471715	3.83
3471716	17.02
3471717	34.78
3471720	34.47
3471721	21.4
3471722	28.44
3471727	21.73
3471729	21.52
3471731	21.17
3471732	21.0
3471733	20.98
3471734	20.98
3471736	20.39
3471737	20.08
3471738	2.064
3471739	2.06
3471741	2.03
3471742	1.869
3471743	1.987
3471747	2.332
3471749	2.271
3471750	2.334
3471754	2.457
3471755	2.082
3471756	1.908
3471757	2.412
3471758	2.11
3471759	2.094
3471760	2.043
3471761	1.825
3471762	1.808
3471763	1.614
3471765	1.663
3471766	1.607
3471768	1.277
3471770	1.33
3471772	1.306
3471774	1.162
3471775	1.119
3471776	1.163
3471777	1.147
3471778	1.137
3471779	1.106
3471782	1.236
3471783	1.2705
3471785	1.38
3471788	1.647
3471789	1.649
3471791	1.588
3471793	1.574
3471794	1.394
3471795	1.565
3471796	1.364
3471797	1.407
3471798	1.578
3471799	1.609
3471800	1.576
3471804	1.64
3471806	1.506
3471807	1.206
3471809	1.694
3471810	1.692
3471812	2.17
3471813	2.092
3471814	2.863
3471815	2.836
3471817	5.168
3471818	2.797
3471819	5.234
3471821	5.336
3471822	2.945
3471824	5.05
3471825	5.27
3471827	5.363
3471830	6.863
3471832	12.32
3471834	12.23
3471835	11.49
3471837	9.38
3471940	15.15
3471941	3.465
3471942	3.512
3471945	2.604
3471946	3.328
3471948	2.867
3471949	3.55
3471952	2.559
3471953	3.162
3471955	10.92
3471957	4.574
3471959	10.516
3471961	3.773
3471963	1.347
3471964	1.657
3471965	2.098
3471967	2.096
3471968	1.876
3471970	1.956
3471973	1.839
3471974	3.254
3471975	1.398
3471981	1.737
3471983	2.363
3472504	10.65
3472505	14.234
3472507	10.51
3472509	10.695
3472510	10.72
3472511	14.336
3472512	14.37
3472513	14.36
3472514	14.24
3472515	12.734
3472517	11.22
3472519	5.977
3472520	4.86
3472522	3.275
3472527	22.48
3472530	22.33
3472532	22.47
3472541	21.19
3472542	21.16
3472546	1.444
3472548	1.728
3472550	1.757
3472551	1.692
3472554	1.782
3472577	29.31
3472902	3.059
3472903	3.111
3472906	2.39
3472908	2.723
3472910	2.441
3472911	2.633
3472913	2.92
3472917	3.129
3472919	3.326
3472922	4.33
3472923	4.457
3472924	4.37
3472927	6.676
3472928	5.406
3472929	6.68
3472960	17.75
3472961	17.69
3472962	14.65
3472963	13.12
3472964	17.64
3472966	11.77
3472967	7.84
3472970	6.344
3472973	8.36
3473516	3.4
3473518	3.787
3473521	2.217
3473523	3.686
3473527	2.111
3473528	2.121
3473530	2.342
3473532	3.4
3473533	2.467
3473537	2.852
3473541	6.223
3473544	10.97
3473546	12.664
3473548	15.36
3473589	9.055
3473590	3.621
3473591	9.086
3473593	9.414
3473594	6.445
3473596	9.56
3473598	7.14
3473599	9.875
3473601	7.63
3473602	4.547
3473603	4.094
3473604	3.992
3473605	5.125
3473607	6.637
3473608	9.56
3473611	9.94
3473613	10.32
3473614	9.25
3473615	9.375
3473616	9.66
3473648	21.5
3473650	20.48
3473652	19.67
3473653	19.92
3473654	19.69
3473656	2.236
3473657	2.242
3473658	2.096
3473661	4.44
3473663	5.438
3473687	16.77
3473689	16.84
3473693	14.5
3473698	4.426
3473700	3.354
3473701	3.318
3473702	3.344
3473704	3.283
3473706	2.482
3473707	2.533
3473709	1.814
3473721	1.328
3473723	1.537
3473733	1.252
3473735	1.227
3473737	1.216
3473740	1.313
3473741	1.392
3473746	1.783
3473861	1.97
3473862	1.824
3473863	2.236
3473865	2.19
3473866	1.844
3473867	1.956
3473868	2.146
3473870	1.999
3473872	2.385
3473873	2.09
3473874	21.84
3473875	22.67
3473876	22.5
3473877	23.52
3473878	24.02
3473879	24.02
3473880	24.33
3473882	24.33
3473884	24.8
3473887	24.23
3473888	23.69
3473889	22.47
3473890	22.58
3473895	2.324
3473897	1.617
3473900	9.055
3473901	9.06
3473902	10.45
3473907	13.836
3473915	26.48
3473916	24.94
3473919	13.41
3473920	5.88
3473921	5.99
3473922	5.7
3473925	2.463
3473926	2.408
3473928	2.36
3473931	2.73
3473933	2.963
3473934	2.898
3473936	3.139
3473938	2.92
3473940	2.918
3473947	2.588
3474304	12.73
3474305	12.84
3474306	5.277
3474312	12.75
3474315	5.062
3474316	11.83
3474321	6.61
3474322	5.4
3474323	5.383
3474324	3.104
3474328	4.16
3474336	10.195
3474338	8.45
3474345	10.47
3474346	6.2
3474348	7.316
3474349	15.67
3474350	15.72
3474351	10.914
3474352	18.75
3474353	10.63
3474354	7.03
3474355	5.86
3474356	7.14
3474357	10.98
3474360	13.96
3474364	14.83
3474365	14.22
3474370	2.871
3474371	4.03
3474372	4.008
3474375	3.877
3474377	2.38
3474378	2.361
3474383	1.8955
3474386	1.651
3474387	1.938
3474390	2.064
3474391	3.39
3474392	2.107
3474395	3.621
3474396	3.627
3474401	3.064
3474404	2.629
3474408	2.648
3474409	2.26
3474412	2.535
3474416	1.166
3474420	1.001
3474422	1.199
3474427	0.8364
3474428	1.184
3474429	1.177
3474432	1.7705
3474436	3.812
3474437	2.717
3474438	5.15
3474439	5.1
3474440	2.807
3474441	1.758
3474442	2.953
3474444	7.562
3474448	12.57
3474449	7.617
3474452	3.955
3474792	2.57
3474794	2.36
3474796	2.416
3474798	2.549
3474799	2.371
3474800	2.63
3474801	2.363
3474802	2.664
3474804	2.938
3474806	3.035
3474808	2.879
3474810	3.184
3474811	3.232
3474813	2.578
3474814	2.082
3474815	2.035
3474816	2.318
3474818	2.273
3474819	2.195
3475976	6.367
3475981	5.76
3475984	6.406
3475986	6.97
3475990	7.81
3475991	16.73
3475992	18.25
3475994	19.81
3475996	28.73
3475997	27.17
3475998	28.56
3476037	4.023
3476038	4.016
3476039	3.99
3476040	3.436
3476041	3.375
3476042	3.402
3476045	3.213
3476046	3.1
3476049	2.883
3476050	2.604
3476051	2.719
3476052	2.518
3476055	2.664
3476061	2.244
3476062	2.143
3476063	2.031
3476242	1.498
3476243	1.58
3476244	1.723
3476246	1.645
3476249	1.954
3476253	1.845
3476254	2.105
3476258	2.076
3476261	2.674
3476262	3.127
3476264	11.484
3476265	12.1
3476267	12.18
3476268	12.62
3476269	12.49
3476270	12.43
3476272	12.54
3476273	12.97
3476278	13.11
3476280	12.766
3476282	13.29
3476283	12.516
3476285	4.29
3476286	4.008
3476288	4.17
3476289	4.21
3476293	4.14
3476294	3.57
3476297	2.598
3476299	2.836
3476301	2.635
3476304	2.324
3476305	2.348
3476308	2.285
3476317	2.791
3476319	2.854
3476320	2.66
3476479	2.008
3476481	1.879
3476482	1.945
3476483	1.933
3476485	1.902
3476486	1.845
3476487	1.673
3476491	1.368
3476492	1.282
3476504	11.76
3476508	12.14
3476510	11.26
3476511	11.88
3476512	11.96
3476518	3.027
3476519	3.885
3476520	2.992
3476523	2.732
3476525	2.875
3476526	2.86
3476527	2.533
3476529	2.564
3476530	2.275
3476532	2.201
3476534	2.33
3476535	2.455
3476536	2.406
3476537	2.209
3476539	2.305
3476540	2.27
3476541	2.111
3476543	2.172
3476866	1.547
3476867	1.972
3476868	1.97
3476869	2.01
3476871	1.782
3476872	1.716
3476873	1.989
