ox_code	src_code	population	country	region	contributor	contact	year	m_s	sex	n_sequences	mean_coverage	phenotype	insecticide
AA0101-C	Twifo_Praso__E4	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	96486012	30.22	dead	Bendiocarb
AA0102-C	Takoradi_E8	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	93408120	29.73	dead	Bendiocarb
AA0103-C	Takoradi_H9	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	102625356	33.23	dead	Bendiocarb
AA0104-C	Takoradi_E11	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	95384196	31.18	dead	Bendiocarb
AA0107-C	Koforidua_D6	GHcol	Ghana	Koforidua	David_Weetman		2012	M	F	122136766	40.69	dead	Bendiocarb
AA0108-C	Madina_A3	GHgam	Ghana	Madina	David_Weetman		2012	S	F	85995648	27.85	alive	Bendiocarb
AA0109-C	Madina_F4	GHcol	Ghana	Madina	David_Weetman		2012	M	F	104581480	33.66	alive	Bendiocarb
AA0110-C	Madina_B6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	110193578	36.01	dead	Bendiocarb
AA0111-C	Twifo_Praso__B2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	104724732	34.2	dead	Bendiocarb
AA0113-C	Twifo_Praso__H4	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	97363646	30.68	dead	Bendiocarb
AA0114-C	Takoradi_F8	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	96762928	27.84	dead	Bendiocarb
AA0115-C	Takoradi_A10	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	101554368	30.96	dead	Bendiocarb
AA0116-C	Takoradi_F11	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	97608716	31.25	dead	Bendiocarb
AA0122-C	Madina_C6	GHgam	Ghana	Madina	David_Weetman		2012	S	F	107165344	34.41	dead	Bendiocarb
AA0123-C	Twifo_Praso__D2	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	91488956	29.65	dead	Bendiocarb
AA0124-C	Twifo_Praso__G3	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	98325596	32.06	dead	Bendiocarb
AA0125-C	Twifo_Praso__A5	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	99933768	32.81	dead	Bendiocarb
AA0127-C	Takoradi_C10	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	98951960	30.97	dead	Bendiocarb
AA0132-C	Madina_D3	GHcol	Ghana	Madina	David_Weetman		2012	M	F	101639112	32.39	alive	Bendiocarb
AA0133-C	Madina_B5	GHgam	Ghana	Madina	David_Weetman		2012	S	F	109019346	33.76	alive	Bendiocarb
AA0134-C	Madina_D6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	85704690	28.14	dead	Bendiocarb
AA0135-C	Twifo_Praso__C5	GHcol	Ghana	Twifo_Praso	David_Weetman		2012	M	F	105874060	34.37	dead	Bendiocarb
AA0136-C	Takoradi_A12	GHcol	Ghana	Takoradi	David_Weetman		2012	M	F	100355038	31.34	dead	Bendiocarb
AA0139-C	Madina_F6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	97694602	31.65	dead	Bendiocarb
AA0140-C	Madina_G6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	97619200	31.97	dead	Bendiocarb
AA0141-C	Madina_H6	GHcol	Ghana	Madina	David_Weetman		2012	M	F	107530492	34.83	dead	Bendiocarb
AB0085-C	BF2-4	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	89905852	28.01	NA	NA
AB0087-C	BF3-3	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	116706234	36.76	NA	NA
AB0088-C	BF3-5	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	112090460	23.3	NA	NA
AB0089-C	BF3-8	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	145350454	41.36	NA	NA
AB0090-C	BF3-10	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	F	105012254	34.64	NA	NA
AB0091-C	BF3-12	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	F	98833426	29.97	NA	NA
AB0092-C	BF3-13	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	89897604	29.79	NA	NA
AB0094-C	BF3-17	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	94712888	31.76	NA	NA
AB0095-C	BF4-1	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	102184952	32.91	NA	NA
AB0097-C	BF4-5	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	123867582	38.21	NA	NA
AB0098-C	BF4-6	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	111579866	35.09	NA	NA
AB0099-C	BF6-1	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	101764662	30.27	NA	NA
AB0100-C	BF6-2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	112109710	32.21	NA	NA
AB0101-C	BF6-3	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	102477906	28.86	NA	NA
AB0103-C	BF6-7	BFgam	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	S	F	105747410	31.85	NA	NA
AB0104-C	BF6-8	BFgam	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	S	F	110651954	33.23	NA	NA
AB0108-C	BF7-5	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	111394400	12.01	NA	NA
AB0109-C	BF9-1	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	111138116	33.2	NA	NA
AB0110-C	BF9-2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	158505714	49.59	NA	NA
AB0111-C	BF9-3	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	92577574	30.3	NA	NA
AB0112-C	BF3-18	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	F	114628046	36.49	NA	NA
AB0113-C	BF3-19	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	105726174	30.8	NA	NA
AB0114-C	BF4-7	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	163544496	51.5	NA	NA
AB0115-C	BF4-8	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	131902346	42.35	NA	NA
AB0117-C	BF3-21	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	78682840	24.3	NA	NA
AB0118-C	BF3-22	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	108521494	34.57	NA	NA
AB0119-C	BF3-23	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	86522242	26.69	NA	NA
AB0122-C	BF3-26	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	M	91622016	29.02	NA	NA
AB0123-C	BF3-27	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	M	108346680	34.77	NA	NA
AB0124-C	BF3-28	BFcol	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	M	M	96687784	30.26	NA	NA
AB0126-C	BF3-30	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	73519888	22.76	NA	NA
AB0127-C	BF3-31	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	100242720	30.3	NA	NA
AB0128-C	BF3-32	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	98882614	30.44	NA	NA
AB0129-C	BF3-33	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	86478500	27.21	NA	NA
AB0130-C	BF3-34	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	90478964	27.77	NA	NA
AB0133-C	BF2-14	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	104680878	32.74	NA	NA
AB0134-C	BF2-15	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	93164158	26.75	NA	NA
AB0135-C	BF2-16	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	89058906	28.36	NA	NA
AB0136-C	BF2-17	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	93477938	28.46	NA	NA
AB0137-C	BF2-18	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	107119658	35.51	NA	NA
AB0138-C	BF2-19	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	104224064	32.09	NA	NA
AB0139-C	BF2-20	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	101147414	31.42	NA	NA
AB0140-C	BF2-21	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	110728572	35.79	NA	NA
AB0142-C	BF2-23	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	89204824	30.31	NA	NA
AB0143-C	BF8-1	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	87057938	27.75	NA	NA
AB0145-C	BF8-3	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	101694380	33.19	NA	NA
AB0146-C	BF8-5	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	87355624	25.75	NA	NA
AB0147-C	BF8-6	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	128317024	41.79	NA	NA
AB0148-C	BF8-7	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	113153758	35.39	NA	NA
AB0150-C	BF3-37	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	104506982	31.74	NA	NA
AB0151-C	BF3-38	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	139839586	41.85	NA	NA
AB0153-C	BF3-40	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	102236676	31.02	NA	NA
AB0155-C	BF3-42	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	102789370	32.1	NA	NA
AB0157-C	BF3-44	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	94001246	29.07	NA	NA
AB0158-C	BF3-45	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	96082380	29.43	NA	NA
AB0159-C	BF3-46	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	98784976	30.17	NA	NA
AB0160-C	BF3-47	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	72878486	22.43	NA	NA
AB0161-C	BF3-48	BFgam	Burkina_Faso	Bana	Austin_Burt	Sam_O'Loughlin	2012	S	M	135544660	40.53	NA	NA
AB0162-C	BF3-54	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	86297380	26.69	NA	NA
AB0164-C	BF3-56	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	79682812	24.52	NA	NA
AB0165-C	BF3-59	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	123808034	37.33	NA	NA
AB0166-C	BF3-60	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	92180458	28.14	NA	NA
AB0167-C	BF3-61	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	121897332	36.53	NA	NA
AB0169-C	BF3-64	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	86323822	26.59	NA	NA
AB0170-C	BF3-65	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	88910634	28.6	NA	NA
AB0171-C	BF3-66	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	M	76711192	23.43	NA	NA
AB0172-C	BF10-1	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	93054446	26.98	NA	NA
AB0173-C	BF10-2	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	110797712	24.85	NA	NA
AB0174-C	BF10-3	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	85694964	23.1	NA	NA
AB0175-C	BF10-4	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	88433390	28.02	NA	NA
AB0176-C	BF10-5	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	82857398	26.12	NA	NA
AB0177-C	BF10-7	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	88728970	21.14	NA	NA
AB0178-C	BF10-8	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	102127354	31.55	NA	NA
AB0179-C	BF10-9	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	107048128	28.93	NA	NA
AB0181-C	BFBana_4_2	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	112794312	36.11	NA	NA
AB0182-C	BFBana_4_3	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	99125704	31.73	NA	NA
AB0183-C	BFBana5_1	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	89894120	26.15	NA	NA
AB0184-C	BFBana_5_2	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	91623478	28.16	NA	NA
AB0185-C	BFBana_6_1	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	101581056	33.31	NA	NA
AB0186-C	BFBana_6_2	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	90639292	29.07	NA	NA
AB0187-C	BFBana_7_1	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	115130040	32.22	NA	NA
AB0188-C	BFBana_7_2	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	95156528	25.77	NA	NA
AB0189-C	BFBana_8_1	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	127537108	39.82	NA	NA
AB0190-C	BFBana_8_2	BFcol	Burkina_Faso	Bana_M	Austin_Burt	Sam_O'Loughlin	2012	M	F	117604304	37.99	NA	NA
AB0191-C	BFBana_17_2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	106976592	35.04	NA	NA
AB0192-C	BFBana_17_3	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	106240586	34	NA	NA
AB0195-C	BFBana_19_1	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	41856482	13.8	NA	NA
AB0196-C	BFBana_19_2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	109112972	33.59	NA	NA
AB0197-C	BFPala_36_1	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	108444644	34.41	NA	NA
AB0198-C	BFPala_36_2	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	110815562	34.53	NA	NA
AB0199-C	BFPala_36_3	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	107709374	31.1	NA	NA
AB0200-C	BFPala_36_4	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	100632516	31.3	NA	NA
AB0201-C	BFPala_48_1	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	96936276	31.77	NA	NA
AB0202-C	BFPala_48_2	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	111656894	36.99	NA	NA
AB0203-C	BFPala_48_3	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	89992978	29.41	NA	NA
AB0204-C	BFPala_58_1	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	111830668	37.24	NA	NA
AB0205-C	BFPala_58_2	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	118030304	37.86	NA	NA
AB0206-C	BFPala_58_3	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	116492418	37.38	NA	NA
AB0207-C	BFSour_59_1	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	120735434	37.72	NA	NA
AB0208-C	BFSour_59_2	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	112084150	34.53	NA	NA
AB0209-C	BFBana_14_1	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	118043738	37.96	NA	NA
AB0210-C	BFBana_14_2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	158865480	48.94	NA	NA
AB0211-C	BFBana_16_1	BFgam	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	S	F	112964850	35.06	NA	NA
AB0212-C	BFBana_16_2	BFcol	Burkina_Faso	Bana_V	Austin_Burt	Sam_O'Loughlin	2012	M	F	97935414	32.14	NA	NA
AB0213-C	BFSour_59_3	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	114895884	34.58	NA	NA
AB0215-C	BFSour_46_2	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	118636076	39.5	NA	NA
AB0217-C	BFSour_54_1	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	104164004	32.39	NA	NA
AB0218-C	BFSour_54_2	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	140578838	43.65	NA	NA
AB0219-C	BFSour_54_3	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	107259160	34.45	NA	NA
AB0221-C	BFSour_55_2	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	109793482	33.19	NA	NA
AB0222-C	BFSour_55_3	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	110084314	32.55	NA	NA
AB0223-C	BFSour_56_1	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	108350646	35.16	NA	NA
AB0224-C	BFSour_57_1	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	118980508	39.27	NA	NA
AB0226-C	BFSour_57_3	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	105094584	33.6	NA	NA
AB0227-C	BF11-2	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	94146816	29.37	NA	NA
AB0228-C	BF11-3	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	81762002	26.27	NA	NA
AB0229-C	BF11-4	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	96591894	32.44	NA	NA
AB0231-C	BF11-7	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	65711922	21.28	NA	NA
AB0232-C	BF11-8	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	202923008	47.4	NA	NA
AB0233-C	BF11-9	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	101673334	32.48	NA	NA
AB0234-C	BF11-10	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	76022042	25.05	NA	NA
AB0235-C	BF11-11	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	81774702	26.33	NA	NA
AB0236-C	BF11-12	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	274074182	85.2	NA	NA
AB0237-C	BF11-13	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	99769250	32.98	NA	NA
AB0238-C	BF11-14	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	111628010	36.81	NA	NA
AB0239-C	BF11-15	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	127005922	40.08	NA	NA
AB0240-C	BF11-16	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	79660228	26.51	NA	NA
AB0241-C	BF11-17	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	140659424	42.9	NA	NA
AB0242-C	BF11-18	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	102262548	32.98	NA	NA
